category	weight	text
comfort	7	Svjetlo je prejako.
comfort	7	Svjetlo je preslabo.
comfort	7	Sunce mi ide u oči.
comfort	7	Propuh mi smeta.
comfort	7	Zrak je presuh.
comfort	7	Otvori prozor malo.
comfort	7	Zatvori prozor do kraja.
comfort	7	Pomjeri zavjesu.
comfort	7	Spusti roletne.
comfort	7	Podigni roletne.
comfort	7	Upali ventilator.
comfort	7	Ugasi ventilator.
comfort	7	Pojačaj grijanje.
comfort	7	Smanji grijanje.
comfort	7	Podesi temperaturu malo niže.
comfort	7	Podesi temperaturu malo više.
comfort	7	Donesi mi topliju deku.
comfort	7	Skloni tešku deku.
comfort	7	Namjesti mi mekši jastuk.
comfort	7	Ovaj jastuk je pretvrd.
comfort	7	Krevet mi nije udoban.
comfort	7	Naslon je previše uspravan.
comfort	7	Naslon je previše spušten.
comfort	7	Ekran je previše svijetao.
comfort	7	Smanji svjetlinu ekrana.
comfort	7	Povećaj slova na ekranu.
comfort	7	Približi ekran malo.
comfort	7	Smanji muziku.
comfort	7	Pojačaj muziku.
comfort	7	Promijeni ovu pjesmu.
comfort	7	Pusti nešto mirnije.
comfort	7	Treba mi nekoliko minuta odmora.
comfort	7	Pusti me da odmorim oči.
comfort	7	Ovako mi je udobno.
comfort	7	Sada mi je mnogo bolje.
conversation	3	Dobro sam.
conversation	3	Nisam baš najbolje.
conversation	3	Kako je prošao dan?
conversation	3	Kako je bilo na poslu?
conversation	3	Kako ide škola?
conversation	3	Šta ima novo?
conversation	3	Šta se danas desilo?
conversation	3	Ko je zvao?
conversation	3	Ko je pobijedio?
conversation	3	Gdje ste bili?
conversation	3	Kada ćete ponovo doći?
conversation	3	Šta planirate za vikend?
conversation	3	Kako je vrijeme napolju?
conversation	3	Je li padala kiša?
conversation	3	Pričaj mi o svom danu.
conversation	3	Reci mi još nešto.
conversation	3	Nastavi, slušam te.
conversation	3	Ponovi posljednju rečenicu.
conversation	3	Govori malo sporije.
conversation	3	Nisam dobro čuo.
conversation	3	Nisam razumio pitanje.
conversation	3	Sada razumijem.
conversation	3	To je zanimljivo.
conversation	3	To nisam znao.
conversation	3	Baš lijepa vijest.
conversation	3	Žao mi je to čuti.
conversation	3	Drago mi je zbog tebe.
conversation	3	Hvala što si mi rekao.
conversation	3	Hvala za razgovor.
conversation	3	Lijepo je razgovarati s tobom.
conversation	3	Možemo li promijeniti temu?
conversation	3	Imam još jedno pitanje.
conversation	3	Odgovorit ću za trenutak.
conversation	3	Daj mi vremena da napišem odgovor.
conversation	3	Da, slažem se.
conversation	3	Ne, ne slažem se.
conversation	3	Možda si u pravu.
conversation	3	Nisam siguran.
conversation	3	Vidjet ćemo.
conversation	3	Dogovorit ćemo se kasnije.
conversation	3	To možemo uraditi sutra.
conversation	3	Danas mi odgovara.
conversation	3	Kasnije mi više odgovara.
conversation	3	Sada je pravi trenutak.
conversation	3	Javi mi kada budeš spreman.
conversation	3	Čekam tvoj odgovor.
conversation	3	Baš si me obradovao.
conversation	3	To mi mnogo znači.
conversation	3	Nadam se dobrim vijestima.
conversation	3	Sve si dobro objasnio.
family_social	3	Kako je porodica?
family_social	3	Kako su djeca?
family_social	3	Kako ti je majka?
family_social	3	Kako ti je otac?
family_social	3	Kako ti je brat?
family_social	3	Kako ti je sestra?
family_social	3	Pozdravi sve kod kuće.
family_social	3	Pošalji im moj pozdrav.
family_social	3	Nazovi me kada stigneš.
family_social	3	Javi da sam dobro.
family_social	3	Reci im da mislim na njih.
family_social	3	Volio bih ih uskoro vidjeti.
family_social	3	Kada će djeca doći?
family_social	3	Ko danas dolazi u posjetu?
family_social	3	Hoće li neko svratiti večeras?
family_social	3	Baš mi nedostaje porodica.
family_social	3	Nedostaje mi naš razgovor.
family_social	3	Drago mi je što smo zajedno.
family_social	3	Hvala ti što si uz mene.
family_social	3	Mnogo mi pomaže tvoje društvo.
family_social	3	Nemoj brinuti za mene.
family_social	3	Čuvaj se na putu.
family_social	3	Sretno na ispitu.
family_social	3	Sretno na novom poslu.
family_social	3	Želim ti brz oporavak.
family_social	3	Baš mi je drago zbog tih lijepih vijesti.
family_social	3	Kako je prošla proslava?
family_social	3	Pokaži mi nove fotografije.
family_social	3	Pročitaj mi poruku naglas.
family_social	3	Odgovori da ću se javiti kasnije.
family_social	3	Reci da mogu doći.
family_social	3	Reci da danas ne mogu.
family_social	3	Podsjeti me da nazovem prijatelja.
family_social	3	Volio bih upoznati tvoje prijatelje.
family_social	3	Lijepo je imati dobre komšije.
opinions	2	Mislim da je to dobra ideja.
opinions	2	Mislim da možemo pokušati.
opinions	2	Mislim da treba sačekati.
opinions	2	Mislim da razgovor može pomoći.
opinions	2	Po mom mišljenju, ovo je važno.
opinions	2	Po mom mišljenju, treba biti strpljiv.
opinions	2	Slažem se s tobom.
opinions	2	Ne slažem se s tim.
opinions	2	Ja to vidim drugačije.
opinions	2	Volio bih čuti drugo mišljenje.
opinions	2	Važno mi je šta ti misliš.
opinions	2	Važno je saslušati ljude.
opinions	2	Važno je imati dovoljno vremena.
opinions	2	Najbolje je govoriti otvoreno.
opinions	2	Ne treba donositi odluku na brzinu.
opinions	2	Trebamo razmotriti sve mogućnosti.
opinions	2	Ovo rješenje mi više odgovara.
opinions	2	Prva mogućnost je jednostavnija.
opinions	2	Druga mogućnost izgleda sigurnije.
opinions	2	Radije bih ostao kod kuće.
opinions	2	Radije bih izašao napolje.
opinions	2	Više volim mirnu muziku.
opinions	2	Ne volim kada se žuri.
opinions	2	Volim kada je sve uredno.
opinions	2	Ovo mi djeluje pošteno.
opinions	2	Ovo mi ne izgleda pravedno.
opinions	2	Svako zaslužuje poštovanje.
opinions	2	Ljudi trebaju pomagati jedni drugima.
opinions	2	Porodica je veoma važna.
opinions	2	Zdravlje treba čuvati.
opinions	2	Treba čuvati naše rijeke.
opinions	2	Djeci treba više vremena za igru.
opinions	2	Praktično znanje je veoma korisno.
opinions	2	Dobro pitanje zaslužuje dobar odgovor.
opinions	2	Nije sve tako jednostavno.
memories	2	Sjećam se toga.
memories	2	Sjećam se našeg prvog susreta.
memories	2	Sjećam se tog ljetnog dana.
memories	2	Sjećam se mirisa domaćeg hljeba.
memories	2	Sjećam se stare kuće.
memories	2	Sjećam se školskih dana.
memories	2	Nekada smo često išli na selo.
memories	2	Nekada sam znao sve komšije.
memories	2	Nekada smo se više družili.
memories	2	Nekada nije bilo mobilnih telefona.
memories	2	Kao dijete volio sam snijeg.
memories	2	Kao dijete često sam vozio bicikl.
memories	2	Moj prvi bicikl bio je crvene boje.
memories	2	Moja prva učiteljica bila je veoma strpljiva.
memories	2	Ljeta smo provodili kod nane.
memories	2	Zimi smo se okupljali oko peći.
memories	2	Često smo igrali fudbal poslije škole.
memories	2	Uvijek smo zajedno slavili rođendane.
memories	2	Taj put pamtim po lijepom vremenu.
memories	2	To su bile lijepe godine.
memories	2	Stare fotografije bude mnogo uspomena.
memories	2	Ova pjesma me podsjeća na mladost.
memories	2	Taj miris me podsjetio na djetinjstvo.
memories	2	Još pamtim njegov osmijeh.
memories	2	Nikada nisam zaboravio taj razgovor.
memories	2	Prije je sve izgledalo drugačije.
memories	2	Rado se sjećam tih ljudi.
memories	2	Imali smo malo, ali smo bili zadovoljni.
memories	2	Putovali smo vozom do mora.
memories	2	Vratili smo se kući dok je padao snijeg.
humour	2	Šalim se.
humour	2	Samo se malo šalim.
humour	2	Nemoj se ljutiti, bila je šala.
humour	2	To me baš nasmijalo.
humour	2	Imaš dobar smisao za humor.
humour	2	Dobar vic uvijek stiže na vrijeme.
humour	2	Ovom kolaču treba hrabar dobrovoljac.
humour	2	Izgleda da su se ključevi opet sakrili.
humour	2	Neko je ozbiljno shvatio pauzu.
humour	2	Ovaj put ćemo ti oprostiti rezultat.
humour	2	Mogu dijeliti savjete cijeli dan.
humour	2	Uvijek imaš spreman duhovit odgovor.
humour	2	Kako uspiješ zagorjeti čak i čaj?
humour	2	Moj sat kasni samo kada žurim.
humour	2	Frižider opet krije najbolje zalogaje.
humour	2	Daljinski upravljač ima svoje planove.
humour	2	Ova stolica zna sve naše priče.
humour	2	Kafa je očigledno zaboravila biti jaka.
humour	2	Vrijeme leti, a ja nisam kupio kartu.
humour	2	Dobro je, barem se imamo čemu smijati.
humour	2	Hajde da čujem još jedan vic.
humour	2	To je bilo toliko loše da je dobro.
humour	2	Sačuvaj tu šalu za goste.
humour	2	Ne brini, pravit ćemo se da nismo vidjeli.
humour	2	Smijeh nam danas baš treba.
emergency	10	Odmah mi treba pomoć.
emergency	10	Pozovi hitnu pomoć.
emergency	10	Nazovi doktora odmah.
emergency	10	Ne mogu disati.
emergency	10	Gušim se.
emergency	10	Imam jak bol u grudima.
emergency	10	Srce mi lupa veoma brzo.
emergency	10	Ne osjećam lijevu ruku.
emergency	10	Ne osjećam desnu nogu.
emergency	10	Ne mogu govoriti.
emergency	10	Ne vidim dobro.
emergency	10	Vrti mi se i past ću.
emergency	10	Mislim da ću se onesvijestiti.
emergency	10	Pao sam.
emergency	10	Povrijedio sam se.
emergency	10	Krvarim.
emergency	10	Opekao sam se.
emergency	10	Ne mogu se pomjeriti.
emergency	10	Ne ostavljaj me samog.
emergency	10	Ostani sa mnom.
emergency	10	Otključaj vrata.
emergency	10	Pozovi nekoga iz porodice.
emergency	10	Donesi moj telefon odmah.
emergency	10	Zaustavi kolica.
emergency	10	Skloni me od opasnosti.
emergency	10	Isključi uređaj odmah.
emergency	10	Osjećam miris dima.
emergency	10	Nešto gori.
emergency	10	Voda je prevruća.
emergency	10	Lijek mi je izazvao reakciju.
emergency	10	Ne mogu progutati lijek.
emergency	10	Pritisni dugme za pomoć.
emergency	10	Reci im gdje se nalazim.
emergency	10	Govori polako i ostani miran.
emergency	10	Sada sam na sigurnom.
needs	10	Treba mi vode.
needs	7	Želim čaj.
needs	7	Želim odmoriti.
needs	7	Želim biti ovdje.
needs	7	Trebam nešto pojesti.
needs	7	Donesi vode.
needs	7	Donesi čašu.
needs	7	Dođi bliže.
care	8	Pomjeri jastuk.
care	8	Spusti malo.
comfort	7	Otvori prozor.
comfort	7	Zatvori prozor.
health	8	Nisam dobro.
health	8	Loše mi je.
health	8	Umoran sam.
conversation	4	Ne razumijem.
conversation	4	Možete li ponoviti?
conversation	4	Sačekaj malo.
conversation	4	Sačekajte malo.
conversation	3	Nije mi jasno.
conversation	3	Nije tako.
conversation	3	Možeš li doći?
conversation	3	Možemo razgovarati.
conversation	3	Šta se desilo?
conversation	3	Kako je na poslu?
conversation	3	Kada ćete doći?
conversation	3	Volio bih otići vani.
